uid,name,pos,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
TagoTu00,Tua Tagovailoa,QB,230.9,180.9,135.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsRu00,Russell Wilson,QB,225.3,242.8,359.8,328.6,298.9,347.9,269.1,336.3,330.1,270.2,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarrDe02,Derek Carr,QB,219.1,257,272.1,244.4,216.3,206.4,268.5,271.3,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MurrKy00,Kyler Murray,QB,200.5,300.5,378.7,285.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresDa01,Dak Prescott,QB,198.6,320.6,135.1,337.8,285.9,260.7,286.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariMa01,Marcus Mariota,QB,196.6,14.9,25.8,85,175.4,210.5,259.9,210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MillDa02,Davis Mills,QB,181.5,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaltAn00,Andy Dalton,QB,174.2,84.2,136.4,203.2,174.5,210.7,260.6,244.2,225.1,288,250.8,207.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoneMa05,Mac Jones,QB,170.1,224.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrisJa00,Jacoby Brissett,QB,168.6,72.3,20.6,217.2,-0.6,205.9,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GaroJi00,Jimmy Garoppolo,QB,164.8,227.5,64.3,247.3,48,87.4,35.5,-0.3,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TannRy00,Ryan Tannehill,QB,161.2,268.4,343.9,224.2,142.5,,190.2,257.8,279,238.3,182.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RyanMa00,Matt Ryan,QB,155.3,222.9,282.4,267.3,354.5,228.1,347.5,233.9,284.3,248.1,304.9,273.5,250.4,183.5,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PickKe00,Kenny Pickett,QB,149.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DillAJ00,AJ Dillon,RB,153.6,168.6,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SingDe00,Devin Singletary,RB,158.9,177.8,124.6,133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MostRa00,Raheem Mostert,RB,152.8,2,91.7,158.2,35.6,1,0.6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsJe01,Jeff Wilson,RB,147.5,48,135.8,45.4,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PierDa01,Dameon Pierce,RB,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PattCo00,Cordarrelle Patterson,RB,144.2,208.6,58.9,30.1,86,70.5,93.6,13.5,76.6,139.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkerCa00,Cam Akers,RB,134.8,2.8,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MurrLa00,Latavius Murray,RB,140.7,98.6,124.7,140.2,120.9,150,191.7,184.3,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeDO00,D'Onta Foreman,RB,128.5,89.4,16.5,,9.7,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PachIs00,Isiah Pacheco,RB,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MayfBa00,Baker Mayfield,QB,121.4,180.9,248.1,229.2,240.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GibsAn00,Antonio Gibson,RB,142.9,208.1,184.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaylJo02,Jonathan Taylor,RB,132.4,353.1,234.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeinTa00,Taylor Heinicke,QB,116,222.4,11.7,,13.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PickGe00,George Pickens,WR,140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillMi07,Mike Williams,WR,145,208.6,129.7,136.8,158.7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
